distance_type,walk_window,num_of_steps,num_of_walks,embedding,embedding_window,category_percentage,proximity_percentage
center_distance,10,5,10,cbow,50,0.3949460504885994,0.0034558224755700325
center_distance,10,5,10,cbow,100,0.3967732084690554,0.005868281758957655
center_distance,10,5,10,cbow,150,0.3992467426710098,0.0076954397394136806
center_distance,10,5,10,skip_gram,50,0.44174470684039085,0.2957043973941368
center_distance,10,5,10,skip_gram,100,0.44805578175895766,0.3879427931596091
center_distance,10,5,10,skip_gram,150,0.44824918566775246,0.41257634364820844
center_distance,10,10,5,cbow,50,0.39208061889250817,0.005257532573289902
center_distance,10,10,5,cbow,100,0.3976282573289902,0.009929763843648208
center_distance,10,10,5,cbow,150,0.39439128664495116,0.01498371335504886
center_distance,10,10,5,skip_gram,50,0.4691724348534202,0.2915207654723127
center_distance,10,10,5,skip_gram,100,0.47382430781758955,0.30311482084690555
center_distance,10,10,5,skip_gram,150,0.4738141286644951,0.3006005700325733
center_distance,10,15,3,cbow,50,0.39458978013029317,0.0035321661237785015
center_distance,10,15,3,cbow,100,0.3996793566775244,0.005863192182410423
center_distance,10,15,3,cbow,150,0.4012214983713355,0.008306188925081432
center_distance,10,15,3,skip_gram,50,0.47136604234527685,0.26362988599348536
center_distance,10,15,3,skip_gram,100,0.47457247557003257,0.2688467019543974
center_distance,10,15,3,skip_gram,150,0.4763538273615635,0.25961421009771984
center_distance,30,5,10,cbow,50,0.3954945782212493,0.004459603930153235
center_distance,30,5,10,cbow,100,0.3957593035687013,0.005421778750699995
center_distance,30,5,10,cbow,150,0.4026268899862546,0.006221045665122435
center_distance,30,5,10,skip_gram,50,0.4469123860917375,0.16506134500839995
center_distance,30,5,10,skip_gram,100,0.46465407524308916,0.27345619304586877
center_distance,30,5,10,skip_gram,150,0.4700096726569261,0.32641144428040525
center_distance,30,10,5,cbow,50,0.38948332909137184,0.005339781114787477
center_distance,30,10,5,cbow,100,0.39068465258335455,0.007009417154492237
center_distance,30,10,5,cbow,150,0.38292695342326294,0.008327818783405447
center_distance,30,10,5,skip_gram,50,0.5252583354543141,0.22401628913209468
center_distance,30,10,5,skip_gram,100,0.5244947823873759,0.2354186815983711
center_distance,30,10,5,skip_gram,150,0.5238126749809112,0.2325629931280224
center_distance,30,15,3,cbow,50,0.39134130822092134,0.004922372104861288
center_distance,30,15,3,cbow,100,0.3965843726138967,0.005568847034868924
center_distance,30,15,3,cbow,150,0.3904759480783914,0.006184779842199033
center_distance,30,15,3,skip_gram,50,0.5156731992873504,0.1869432425553576
center_distance,30,15,3,skip_gram,100,0.5159582590990074,0.1929294986001527
center_distance,30,15,3,skip_gram,150,0.5159837108679053,0.18968694324255536
